label,bit,carton_pk,SDSSC2VB,program,version,v1,name,mapper,alt_program,alt_name
openfibertargets_nov2020_29_1.0.7,280,1327,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_29,open,open_fiber,mwm_cluster_openfiber
openfibertargets_nov2020_3_1.0.7,281,1328,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_3,open,open_fiber,mwm_bin_openfiber
openfibertargets_nov2020_31_1.0.7,282,1329,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_31,open,open_fiber,mwm_validation_openfiber
openfibertargets_nov2020_34a_1.0.7,283,1330,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_34a,open,open_fiber,mwm_openfiber
openfibertargets_nov2020_34b_1.0.7,284,1331,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_34b,open,open_fiber,mwm_openfiber
openfibertargets_nov2020_35b_1.0.7,285,1332,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_35b,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_35c_1.0.7,286,1333,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_35c,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_46_1.0.7,287,1334,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_46,open,open_fiber,mwm_bin_openfiber
openfibertargets_nov2020_5_1.0.7,288,1335,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_5,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_6a_1.0.7,289,1336,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_6a,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_6b_1.0.7,290,1337,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_6b,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_6c_1.0.7,291,1338,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_6c,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_8_1.0.7,292,1339,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_8,open,open_fiber,mwm_cluster_openfiber
openfibertargets_nov2020_9_1.0.7,293,1340,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_9,open,open_fiber,mwm_cluster_openfiber
openfibertargets_nov2020_28a_1.0.7,294,1344,1,open_fiber,1.0.7,10.07,openfibertargets_nov2020_28a,open,open_fiber,manual_mwm_halo_distant_kgiant
openfibertargets_nov2020_33_1.0.10,295,1358,1,open_fiber,1.0.10,10.1,openfibertargets_nov2020_33,open,open_fiber,bhm_openfiber
bhm_rm_core_1.0.12,296,1359,1,bhm_rm,1.0.12,10.12,bhm_rm_core,bhm,rm,bhm_rm
bhm_rm_known_spec_1.0.12,297,1360,1,bhm_rm,1.0.12,10.12,bhm_rm_known_spec,bhm,rm,bhm_rm
bhm_rm_var_1.0.12,298,1361,1,bhm_rm,1.0.12,10.12,bhm_rm_var,bhm,rm,bhm_rm
bhm_rm_ancillary_1.0.12,299,1362,1,bhm_rm,1.0.12,10.12,bhm_rm_ancillary,bhm,rm,bhm_rm
bhm_rm_xrayqso_1.0.12,300,1363,1,bhm_rm,1.0.12,10.12,bhm_rm_xrayqso,bhm,rm,bhm_rm
manual_mwm_magcloud_massive_apogee_1.0.10,301,1367,1,mwm_magcloud,1.0.10,10.1,manual_mwm_magcloud_massive_apogee,mwm,magcloud,mwm_magcloud_massive
manual_mwm_magcloud_massive_boss_1.0.10,302,1368,1,mwm_magcloud,1.0.10,10.1,manual_mwm_magcloud_massive_boss,mwm,magcloud,mwm_magcloud_massive
manual_mwm_magcloud_symbiotic_apogee_1.0.10,303,1369,1,mwm_magcloud,1.0.10,10.1,manual_mwm_magcloud_symbiotic_apogee,mwm,magcloud,mwm_magcloud_symbiotic
ops_std_boss_gdr2_1.0.13,304,1370,1,ops_std,1.0.13,10.13,ops_std_boss_gdr2,ops,std,ops_std
ops_std_apogee_1.0.14,305,1371,1,ops_std,1.0.14,10.14,ops_std_apogee,ops,std,ops_std
ops_std_eboss_1.0.15,306,1372,1,ops_std,1.0.15,10.15,ops_std_eboss,ops,std,ops_std
ops_std_boss_1.0.16,307,1374,1,ops_std,1.0.16,10.16,ops_std_boss,ops,std,ops_std
ops_std_boss_red_1.0.16,308,1375,1,ops_std,1.0.16,10.16,ops_std_boss_red,ops,std,ops_std
ops_std_boss_tic_1.0.16,309,1376,1,ops_std,1.0.16,10.16,ops_std_boss_tic,ops,std,ops_std
mwm_snc_100pc_apogee_1.0.17,310,1378,1,mwm_snc,1.0.17,10.17,mwm_snc_100pc_apogee,mwm,snc,mwm_snc
mwm_snc_100pc_boss_1.0.17,311,1379,1,mwm_snc,1.0.17,10.17,mwm_snc_100pc_boss,mwm,snc,mwm_snc
mwm_bin_gaia_astb_apogee_1.0.19,312,1400,1,mwm_bin,1.0.19,10.19,mwm_bin_gaia_astb_apogee,mwm,bin,mwm_bin_gaia_astb
mwm_bin_gaia_astb_boss_1.0.19,313,1401,1,mwm_bin,1.0.19,10.19,mwm_bin_gaia_astb_boss,mwm,bin,mwm_bin_gaia_astb
mwm_bin_gaia_sb_apogee_1.0.19,314,1402,1,mwm_bin,1.0.19,10.19,mwm_bin_gaia_sb_apogee,mwm,bin,mwm_bin_gaia_sb
mwm_bin_gaia_sb_boss_1.0.19,315,1403,1,mwm_bin,1.0.19,10.19,mwm_bin_gaia_sb_boss,mwm,bin,mwm_bin_gaia_sb
