label,bit,carton_pk,SDSSC2BV,program,version,v1,name,mapper,alt_program,alt_name
openfibertargets_nov2020_8_0.5.3,181,1036,4,open_fiber,0.5.3,5.03,openfibertargets_nov2020_8,open,open_fiber,mwm_cluster_openfiber
openfibertargets_nov2020_9_0.5.3,182,1037,4,open_fiber,0.5.3,5.03,openfibertargets_nov2020_9,open,open_fiber,mwm_cluster_openfiber
openfibertargets_nov2020_19a_0.5.3,183,1040,4,open_fiber,0.5.3,5.03,openfibertargets_nov2020_19a,open,open_fiber,mwm_tess_2min
openfibertargets_nov2020_19b_0.5.3,184,1041,4,open_fiber,0.5.3,5.03,openfibertargets_nov2020_19b,open,open_fiber,mwm_tess_2min
openfibertargets_nov2020_19c_0.5.3,185,1042,4,open_fiber,0.5.3,5.03,openfibertargets_nov2020_19c,open,open_fiber,mwm_tess_2min
manual_nsbh_apogee_0.5.3,186,1043,4,mwm_cb,0.5.3,5.03,manual_nsbh_apogee,mwm,nsbh,manual_mwm_nsbh
manual_nsbh_boss_0.5.3,187,1044,4,mwm_cb,0.5.3,5.03,manual_nsbh_boss,mwm,nsbh,manual_mwm_nsbh
manual_bhm_spiders_comm_0.5.3,188,1048,4,commissioning,0.5.3,5.03,manual_bhm_spiders_comm,ops,commissioning,bhm_spiders
bhm_aqmes_bonus_bright_0.5.4,189,1049,4,bhm_filler,0.5.4,5.04,bhm_aqmes_bonus_bright,bhm,aqmes,bhm_aqmes
bhm_aqmes_bonus_core_0.5.4,190,1050,4,bhm_filler,0.5.4,5.04,bhm_aqmes_bonus_core,bhm,aqmes,bhm_aqmes
bhm_aqmes_bonus_faint_0.5.4,191,1051,4,bhm_filler,0.5.4,5.04,bhm_aqmes_bonus_faint,bhm,aqmes,bhm_aqmes
bhm_aqmes_wide2_0.5.4,192,1052,4,bhm_aqmes,0.5.4,5.04,bhm_aqmes_wide2,bhm,aqmes,bhm_aqmes
bhm_aqmes_wide2_faint_0.5.4,193,1053,4,bhm_filler,0.5.4,5.04,bhm_aqmes_wide2_faint,bhm,aqmes,bhm_aqmes
mwm_cb_300pc_boss_0.5.4,194,1055,4,mwm_cb,0.5.4,5.04,mwm_cb_300pc_boss,mwm,cb,mwm_cb_300pc
openfibertargets_nov2020_5_0.5.3,195,1056,4,open_fiber,0.5.3,5.03,openfibertargets_nov2020_5,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_6a_0.5.3,196,1057,4,open_fiber,0.5.3,5.03,openfibertargets_nov2020_6a,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_6b_0.5.3,197,1058,4,open_fiber,0.5.3,5.03,openfibertargets_nov2020_6b,open,open_fiber,mwm_halo_openfiber
openfibertargets_nov2020_6c_0.5.3,198,1059,4,open_fiber,0.5.3,5.03,openfibertargets_nov2020_6c,open,open_fiber,mwm_halo_openfiber
manual_bright_target_offsets_1_0.5.3,199,1069,4,commissioning,0.5.3,5.03,manual_bright_target_offsets_1,ops,commissioning,mwm_ob_core
manual_bright_target_offsets_1_g13_0.5.3,200,1070,4,commissioning,0.5.3,5.03,manual_bright_target_offsets_1_g13,ops,commissioning,mwm_ob_core
manual_bright_targets_g13_0.5.3,201,1073,4,commissioning,0.5.3,5.03,manual_bright_targets_g13,ops,commissioning,mwm_ob_core
manual_bright_targets_g13_offset_fixed_1_0.5.3,202,1074,4,commissioning,0.5.3,5.03,manual_bright_targets_g13_offset_fixed_1,ops,commissioning,mwm_ob_core
manual_bright_targets_g13_offset_fixed_3_0.5.3,203,1076,4,commissioning,0.5.3,5.03,manual_bright_targets_g13_offset_fixed_3,ops,commissioning,mwm_ob_core
manual_bright_targets_g13_offset_fixed_5_0.5.3,204,1078,4,commissioning,0.5.3,5.03,manual_bright_targets_g13_offset_fixed_5,ops,commissioning,mwm_ob_core
manual_bright_targets_g13_offset_fixed_7_0.5.3,205,1080,4,commissioning,0.5.3,5.03,manual_bright_targets_g13_offset_fixed_7,ops,commissioning,mwm_ob_core
ops_sky_boss_best_0.5.7,206,1082,4,SKY,0.5.7,5.07,ops_sky_boss_best,ops,sky,ops_sky
ops_sky_boss_good_0.5.7,207,1083,4,SKY,0.5.7,5.07,ops_sky_boss_good,ops,sky,ops_sky
ops_sky_boss_best_0.5.8,208,1090,4,SKY,0.5.8,5.08,ops_sky_boss_best,ops,sky,ops_sky
ops_sky_boss_good_0.5.8,209,1091,4,SKY,0.5.8,5.08,ops_sky_boss_good,ops,sky,ops_sky
ops_sky_apogee_best_0.5.8,210,1092,4,SKY,0.5.8,5.08,ops_sky_apogee_best,ops,sky,ops_sky
ops_sky_apogee_good_0.5.8,211,1093,4,SKY,0.5.8,5.08,ops_sky_apogee_good,ops,sky,ops_sky
manual_fps_position_stars_0.5.3,212,1094,4,commissioning,0.5.3,5.03,manual_fps_position_stars,ops,commissioning,manual_fps_position_stars_apogee
ops_sky_boss_best_0.5.9,213,1095,4,ops_sky,0.5.9,5.09,ops_sky_boss_best,ops,sky,ops_sky
ops_sky_boss_good_0.5.9,214,1096,4,ops_sky,0.5.9,5.09,ops_sky_boss_good,ops,sky,ops_sky
ops_sky_apogee_best_0.5.9,215,1097,4,ops_sky,0.5.9,5.09,ops_sky_apogee_best,ops,sky,ops_sky
ops_sky_apogee_good_0.5.9,216,1098,4,ops_sky,0.5.9,5.09,ops_sky_apogee_good,ops,sky,ops_sky
mwm_tess_ob_0.5.11,217,1104,4,mwm_tessob,0.5.11,5.11,mwm_tess_ob,mwm,tessob,mwm_tess_ob
manual_fps_position_stars_10_0.5.3,218,1105,4,commissioning,0.5.3,5.03,manual_fps_position_stars_10,ops,commissioning,manual_fps_position_stars_apogee
ops_sky_boss_fallback_0.5.12,219,1108,4,ops_sky,0.5.12,5.12,ops_sky_boss_fallback,ops,sky,ops_sky
openfibertargets_nov2020_34a_0.5.13,220,1110,4,open_fiber,0.5.13,5.13,openfibertargets_nov2020_34a,open,open_fiber,mwm_openfiber
openfibertargets_nov2020_34b_0.5.13,221,1111,4,open_fiber,0.5.13,5.13,openfibertargets_nov2020_34b,open,open_fiber,mwm_openfiber
bhm_csc_boss_0.5.14,222,1112,4,bhm_csc,0.5.14,5.14,bhm_csc_boss,bhm,csc,bhm_csc
bhm_csc_boss_0.5.15,223,1114,4,bhm_csc,0.5.15,5.15,bhm_csc_boss,bhm,csc,bhm_csc
bhm_csc_apogee_0.5.15,224,1115,4,bhm_csc,0.5.15,5.15,bhm_csc_apogee,bhm,csc,bhm_csc
bhm_colr_galaxies_lsdr8_0.5.16,225,1116,4,bhm_filler,0.5.16,5.16,bhm_colr_galaxies_lsdr8,bhm,bhm_filler,bhm_filler
mwm_yso_cluster_apogee_0.5.17,226,1121,4,mwm_yso,0.5.17,5.17,mwm_yso_cluster_apogee,mwm,yso,mwm_yso_cluster
mwm_yso_cluster_boss_0.5.17,227,1122,4,mwm_yso,0.5.17,5.17,mwm_yso_cluster_boss,mwm,yso,mwm_yso_cluster
mwm_yso_cmz_apogee_0.5.17,228,1123,4,mwm_yso,0.5.17,5.17,mwm_yso_cmz_apogee,mwm,yso,mwm_yso_cmz
mwm_yso_disk_apogee_0.5.17,229,1124,4,mwm_yso,0.5.17,5.17,mwm_yso_disk_apogee,mwm,yso,mwm_yso_disk
mwm_yso_disk_boss_0.5.17,230,1125,4,mwm_yso,0.5.17,5.17,mwm_yso_disk_boss,mwm,yso,mwm_yso_disk
mwm_yso_embedded_apogee_0.5.17,231,1126,4,mwm_yso,0.5.17,5.17,mwm_yso_embedded_apogee,mwm,yso,mwm_yso_embedded
mwm_yso_nebula_apogee_0.5.17,232,1127,4,mwm_yso,0.5.17,5.17,mwm_yso_nebula_apogee,mwm,yso,mwm_yso_nebula
mwm_yso_variable_apogee_0.5.17,233,1128,4,mwm_yso,0.5.17,5.17,mwm_yso_variable_apogee,mwm,yso,mwm_yso_variable
mwm_yso_variable_boss_0.5.17,234,1129,4,mwm_yso,0.5.17,5.17,mwm_yso_variable_boss,mwm,yso,mwm_yso_variable
mwm_rv_long_fps_0.5.18,235,1130,4,mwm_rv,0.5.18,5.18,mwm_rv_long_fps,mwm,bin,mwm_bin_rv_long
mwm_rv_short_fps_0.5.18,236,1131,4,mwm_rv,0.5.18,5.18,mwm_rv_short_fps,mwm,bin,mwm_bin_rv_short
mwm_cb_300pc_apogee_0.5.19,237,1132,4,mwm_cb,0.5.19,5.19,mwm_cb_300pc_apogee,mwm,cb,mwm_cb_300pc
mwm_cb_300pc_boss_0.5.19,238,1133,4,mwm_cb,0.5.19,5.19,mwm_cb_300pc_boss,mwm,cb,mwm_cb_300pc
manual_mwm_tess_ob_0.5.13,239,1134,4,mwm_tessob,0.5.13,5.13,manual_mwm_tess_ob,mwm,tess,mwm_tess_ob
manual_fps_position_stars_apogee_10_0.5.13,240,1135,4,commissioning,0.5.13,5.13,manual_fps_position_stars_apogee_10,ops,commissioning,manual_fps_position_stars_apogee
manual_offset_mwmhalo_off00_0.5.13,241,1137,4,commissioning,0.5.13,5.13,manual_offset_mwmhalo_off00,ops,commissioning,manual_offset_mwmhalo
manual_offset_mwmhalo_off05_0.5.13,242,1138,4,commissioning,0.5.13,5.13,manual_offset_mwmhalo_off05,ops,commissioning,manual_offset_mwmhalo
manual_offset_mwmhalo_off10_0.5.13,243,1139,4,commissioning,0.5.13,5.13,manual_offset_mwmhalo_off10,ops,commissioning,manual_offset_mwmhalo
manual_offset_mwmhalo_off20_0.5.13,244,1140,4,commissioning,0.5.13,5.13,manual_offset_mwmhalo_off20,ops,commissioning,manual_offset_mwmhalo
manual_offset_mwmhalo_off30_0.5.13,245,1141,4,commissioning,0.5.13,5.13,manual_offset_mwmhalo_off30,ops,commissioning,manual_offset_mwmhalo
manual_offset_mwmhalo_offa_0.5.13,246,1142,4,commissioning,0.5.13,5.13,manual_offset_mwmhalo_offa,ops,commissioning,manual_offset_mwmhalo
manual_offset_mwmhalo_offb_0.5.13,247,1143,4,commissioning,0.5.13,5.13,manual_offset_mwmhalo_offb,ops,commissioning,manual_offset_mwmhalo
manual_bright_target_offsets_3_0.5.20,248,1158,4,mwm_ob,0.5.20,5.2,manual_bright_target_offsets_3,ops,commissioning,mwm_ob_core
ops_std_apogee_0.5.22,249,1163,4,ops_std,0.5.22,5.22,ops_std_apogee,ops,std,ops_std
manual_bhm_spiders_comm_lco_0.5.23,250,1165,4,commissioning,0.5.23,5.23,manual_bhm_spiders_comm_lco,ops,commissioning,bhm_spiders
manual_fps_position_stars_lco_apogee_10_0.5.23,251,1166,4,commissioning,0.5.23,5.23,manual_fps_position_stars_lco_apogee_10,ops,commissioning,manual_fps_position_stars_apogee
bhm_spiders_agn_sep_1.0.5,252,1253,4,bhm_spiders,1.0.5,10.05,bhm_spiders_agn_sep,bhm,spiders,bhm_spiders
ops_std_boss_lsdr10_1.0.5,253,1263,4,ops_std,1.0.5,10.05,ops_std_boss_lsdr10,ops,std,ops_std
