label,bit,carton_pk,SDSSC2BV,program,version,v1,name,mapper,alt_program,alt_name
unused,0,-1,3,na,0.1.0,1.0,na,na,na,na
mwm_snc_100pc_0.1.0,1,126,3,mwm_snc,0.1.0,1.0,mwm_snc_100pc,mwm,snc,mwm_snc
mwm_snc_250pc_0.1.0,2,127,3,mwm_snc,0.1.0,1.0,mwm_snc_250pc,mwm,snc,mwm_snc
mwm_cb_300pc_0.1.0,3,128,3,mwm_cb,0.1.0,1.0,mwm_cb_300pc,mwm,cb,mwm_cb_300pc
mwm_cb_cvcandidates_0.1.0,4,134,3,mwm_cb,0.1.0,1.0,mwm_cb_cvcandidates,mwm,cb,mwm_cb_cvcandidates
mwm_halo_sm_0.1.0,5,140,3,mwm_halo,0.1.0,1.0,mwm_halo_sm,mwm,halo,mwm_halo_sm
mwm_halo_bb_0.1.0,6,143,3,mwm_halo,0.1.0,1.0,mwm_halo_bb,mwm,halo,mwm_halo_bb
mwm_yso_s1_0.1.0,7,144,3,mwm_yso,0.1.0,1.0,mwm_yso_s1,mwm,yso,mwm_yso_disk
mwm_yso_s2_0.1.0,8,145,3,mwm_yso,0.1.0,1.0,mwm_yso_s2,mwm,yso,mwm_yso_embedded
mwm_yso_s2-5_0.1.0,9,146,3,mwm_yso,0.1.0,1.0,mwm_yso_s2-5,mwm,yso,mwm_yso_nebula
mwm_yso_s3_0.1.0,10,147,3,mwm_yso,0.1.0,1.0,mwm_yso_s3,mwm,yso,mwm_yso_variable
mwm_yso_ob_0.1.0,11,148,3,mwm_yso,0.1.0,1.0,mwm_yso_ob,mwm,yso,mwm_yso_ob
mwm_yso_cmz_0.1.0,12,149,3,mwm_yso,0.1.0,1.0,mwm_yso_cmz,mwm,yso,mwm_yso_cmz
mwm_yso_cluster_0.1.0,13,150,3,mwm_yso,0.1.0,1.0,mwm_yso_cluster,mwm,yso,mwm_yso_cluster
mwm_rv_long-fps_0.1.0,14,158,3,mwm_rv,0.1.0,1.0,mwm_rv_long-fps,mwm,bin,mwm_bin_rv_long
mwm_rv_long-bplates_0.1.0,15,160,3,mwm_rv,0.1.0,1.0,mwm_rv_long-bplates,mwm,bin,mwm_bin_rv_long
mwm_ob_cepheids_0.1.0,16,163,3,mwm_ob,0.1.0,1.0,mwm_ob_cepheids,mwm,ob,mwm_ob_cepheids
mwm_rv_short-fps_0.1.0,17,164,3,mwm_rv,0.1.0,1.0,mwm_rv_short-fps,mwm,bin,mwm_bin_rv_short
mwm_rv_short-bplates_0.1.0,18,165,3,mwm_rv,0.1.0,1.0,mwm_rv_short-bplates,mwm,bin,mwm_bin_rv_short
mwm_ob_core_0.1.0,19,236,3,mwm_ob,0.1.0,1.0,mwm_ob_core,mwm,ob,mwm_ob_core
mwm_rv_short-rm_0.1.0,20,241,3,mwm_rv,0.1.0,1.0,mwm_rv_short-rm,mwm,bin,mwm_bin_rv_short
mwm_rv_long-rm_0.1.0,21,242,3,mwm_rv,0.1.0,1.0,mwm_rv_long-rm,mwm,bin,mwm_bin_rv_long
ops_std_boss_0.1.0,22,257,3,ops_std,0.1.0,1.0,ops_std_boss,ops,std,ops_std
mwm_wd_core_0.1.0,23,259,3,mwm_wd,0.1.0,1.0,mwm_wd_core,mwm,wd,mwm_wd
mwm_gg_core_0.1.0,24,273,3,mwm_gg,0.1.0,1.0,mwm_gg_core,mwm,galactic,mwm_galactic_core
mwm_planet_tess_0.1.0,25,274,3,mwm_planet,0.1.0,1.0,mwm_planet_tess,mwm,planet,mwm_tess_2min
bhm_aqmes_med_0.1.0,26,278,3,bhm_aqmes,0.1.0,1.0,bhm_aqmes_med,bhm,aqmes,bhm_aqmes
mwm_cb_gaiagalex_0.1.0,27,279,3,mwm_cb,0.1.0,1.0,mwm_cb_gaiagalex,mwm,cb,mwm_cb_galex
